Country,Year,Risk Points for Inflation,Risk Points for GDP per Head,Risk Points for GDP Growth,Risk Points for Budget Balance,Risk Points for Current Account as % of GDP,Aggregate Economic Risk
Kenya,2002,8.71,0,7.25,7,10,32.96
Kenya,2003,8.58,0,7.42,6.08,10.46,32.54
Kenya,2004,7.96,0,7.88,5.75,11.29,32.88
Kenya,2005,7,0,8.17,7,10.96,33.13
Kenya,2006,7.67,0,9.33,6.42,9.88,33.3
Kenya,2007,7.92,0,9.58,5.79,10,33.29
Kenya,2008,6.75,0,8.88,5.38,9.88,30.89
Kenya,2009,6.25,0,8.83,5,10,30.08
Kenya,2010,7.88,0,8.79,4.75,10,31.42
Kenya,2011,7.67,0,9.42,4,9.75,30.84
Kenya,2012,6.83,0,9.5,4.83,8.88,30.04
Kenya,2013,8.25,0,9.25,4.83,8.75,31.08
Korea DPR,1984,NA,NA,NA,NA,NA,0
Korea DPR,1985,NA,2.5,5,5,7.5,20
Korea DPR,1986,NA,2.5,5,5,7.5,20
Korea DPR,1987,NA,2.5,5,5,7.5,20
Korea DPR,1988,NA,2.15,4.31,4.31,6.46,17.23
Korea DPR,1989,NA,2.08,4.17,4.17,6.25,16.67
Korea DPR,1990,NA,1.7,3.4,3.4,5.11,13.61
Korea DPR,1991,NA,1.56,3.13,3.13,4.69,12.51
Korea DPR,1992,NA,1.25,2.5,2.5,3.75,10
Korea DPR,1993,NA,1.25,2.5,2.5,3.75,10
Korea DPR,1994,NA,1.25,2.5,2.5,3.75,10
Korea DPR,1995,NA,1.25,2.5,2.5,3.75,10
Korea DPR,1996,6,1.46,2.92,2.92,4.38,17.68
Korea DPR,1997,6,1.19,2.89,3.06,3.33,16.47
Korea DPR,1998,4.54,0.5,0.83,2.5,0,8.37
Korea DPR,1999,4,0.37,0,2.5,0,6.87
Korea DPR,2000,4,0.5,2.5,2.5,8.5,18
Korea DPR,2001,4,0.08,2,2.5,8.5,17.08
Korea DPR,2002,4,0.29,2,2.5,8.5,17.29
Korea DPR,2003,8.5,0.5,7,2.5,11.5,30
Korea DPR,2004,8.5,0.17,7,2.5,11.5,29.67
Korea DPR,2005,8.5,0,8,8,11.5,36
Korea DPR,2006,8.5,0,8,8,11.5,36
Korea DPR,2007,8.5,0,8,8,11.5,36
Korea DPR,2008,8.17,0,6.67,7.17,11.5,33.51
Korea DPR,2009,7.46,0,3.88,5.46,11.5,28.3
Korea DPR,2010,6.96,0,2.88,5.04,11.46,26.34
Korea DPR,2011,6.5,0,6.92,5.71,11,30.13
Korea DPR,2012,5.5,0,5,6,11.5,28
Korea DPR,2013,4.75,0,5,5.63,11.13,26.51
Kuwait,1984,8,3.33,6.67,6.67,10,34.67
Kuwait,1985,8,3.33,6.67,6.67,10,34.67
Kuwait,1986,8,3.33,6.67,6.67,10,34.67
Kuwait,1987,8,3.33,6.67,6.67,10,34.67
Kuwait,1988,9,3.47,6.95,6.95,10.42,36.79
Kuwait,1989,8.54,3.23,6.46,6.46,9.69,34.38
Kuwait,1990,7.25,2.6,5.21,5.21,7.81,28.08
Kuwait,1991,3,0.76,1.53,1.53,2.29,9.11
Kuwait,1992,4,2.92,5.83,5.83,8.75,27.33
Kuwait,1993,7.96,2.92,5.83,5.83,8.75,31.29
Kuwait,1994,9.67,2.92,5.83,5.83,8.75,33
Kuwait,1995,9.25,2.88,5.77,5.77,8.65,32.32
Kuwait,1996,9.42,3.2,6.46,6.46,9.69,35.23
Kuwait,1997,8.92,3.58,6.92,4.92,11.25,35.59
Kuwait,1998,9.46,4.5,7.33,9.42,12.25,42.96
Kuwait,1999,9.67,3.63,4.54,2.13,13.29,33.26
Kuwait,2000,9.29,4,8,8.5,15,44.79
Kuwait,2001,9.33,4.04,7.79,9,15,45.16
Kuwait,2002,9.42,4.33,5.42,9,15,43.17
Kuwait,2003,9.25,4.42,7.63,9.83,15,46.13
Kuwait,2004,9.54,4,8.08,10,15,46.62
Kuwait,2005,10,4.04,8.46,10,15,47.5
Kuwait,2006,9.33,4.5,9.67,10,15,48.5
Kuwait,2007,9.29,4.5,9.13,10,15,47.92
Kuwait,2008,8.63,5,9.75,10,15,48.38
Kuwait,2009,7.79,5,7.33,7.67,13.79,41.58
Kuwait,2010,8.42,5,8,9.33,14.83,45.58
Kuwait,2011,8.5,5,8.38,10,15,46.88
Kuwait,2012,8.67,5,9.5,10,15,48.17
Kuwait,2013,8.58,5,8.67,10,15,47.25
Latvia,1984,NA,NA,NA,NA,NA,0
Latvia,1985,NA,NA,NA,NA,NA,0
Latvia,1986,NA,NA,NA,NA,NA,0
Latvia,1987,NA,NA,NA,NA,NA,0
Latvia,1988,NA,NA,NA,NA,NA,0
Latvia,1989,NA,NA,NA,NA,NA,0
Latvia,1990,NA,NA,NA,NA,NA,0
Latvia,1991,NA,NA,NA,NA,NA,0
Latvia,1992,NA,NA,NA,NA,NA,0
Latvia,1993,NA,NA,NA,NA,NA,0
Latvia,1994,NA,NA,NA,NA,NA,0
Latvia,1995,NA,NA,NA,NA,NA,0
Latvia,1996,NA,NA,NA,NA,NA,0
Latvia,1997,NA,NA,NA,NA,NA,0
Latvia,1998,8.39,NA,NA,NA,NA,8.39
Latvia,1999,9.5,1.18,9.08,8.75,9.04,37.55
Latvia,2000,9.08,2,9,7.67,8.42,36.17
Latvia,2001,9.21,1.67,9.13,7,9.5,36.51
Latvia,2002,9,2,9,7,9.5,36.5
Latvia,2003,9.58,2.29,9.58,6.71,9.5,37.66
Latvia,2004,9.75,2.29,10,6.63,9.38,38.05
Latvia,2005,9,2.5,10,7,9,37.5
Latvia,2006,9,2.5,10,7,9,37.5
Latvia,2007,8,2.5,10,7,8,35.5
Latvia,2008,7.38,2.5,9.58,6.96,6.88,33.3
Latvia,2009,9.04,2.04,0.33,5.04,9.46,25.91
Latvia,2010,10,2.25,2.25,4,13.63,32.13
Latvia,2011,10,3,3,4,14,34
Latvia,2012,9.42,2.79,5.33,5.17,11.96,34.67
Latvia,2013,9.5,2.75,7.75,6.5,10.5,37
Lebanon,1984,4,1.6,3.2,3.2,4.79,16.79
Lebanon,1985,4,1.25,2.5,2.5,3.75,14
Lebanon,1986,4,1.25,2.5,2.5,3.75,14
Lebanon,1987,1.25,1.18,2.36,2.36,3.54,10.69
Lebanon,1988,0.08,0.83,1.67,1.67,2.5,6.75
Lebanon,1989,0,0.52,1.04,1.04,1.56,4.16
Lebanon,1990,0.25,0.45,0.9,0.9,1.35,3.85
Lebanon,1991,2.67,0.83,1.67,1.67,2.5,9.34
Lebanon,1992,3.17,1.67,3.33,3.33,5,16.5
Lebanon,1993,1.67,1.67,3.33,3.33,5,15
Lebanon,1994,0.25,2.12,4.24,4.24,6.36,17.21
Lebanon,1995,5.96,2.5,5,5,7.5,25.96
Lebanon,1996,6,2.57,5.14,5.14,7.71,26.56
Lebanon,1997,6,2.44,7.22,6.31,6.67,28.64
Lebanon,1998,6,2.46,10,5.5,0,23.96
Lebanon,1999,6,1.88,9,3.5,0.5,20.88
Lebanon,2000,6.5,2.5,10,8,1,28
Lebanon,2001,7,2.17,10,1.5,2.5,23.17
Lebanon,2002,8.33,2.5,9,1.83,3.5,25.16
Lebanon,2003,9,2.5,8.5,2,4,26
Lebanon,2004,7.96,2.5,8.08,2,5.46,26
Lebanon,2005,6.5,2.46,7.5,2,7.5,25.96
Lebanon,2006,6.5,2.21,7.5,2,7.5,25.71
Lebanon,2007,8.5,2.5,9.5,3.5,5,29
Lebanon,2008,8.5,2,9.08,3.29,6.25,29.12
Lebanon,2009,8.83,1.92,8.79,3.46,7.96,30.96
Lebanon,2010,9.42,2,10,5.33,8.5,35.25
Lebanon,2011,8.5,2.13,8.83,5,8.5,32.96
Lebanon,2012,8.5,2.5,6.5,8,8.5,34
Lebanon,2013,8.17,2.5,7.13,5,7.42,30.22
Liberia,1984,8,2.33,4.65,4.65,6.98,26.61
Liberia,1985,8,1.67,3.33,3.33,5,21.33
Liberia,1986,8,1.11,2.22,2.22,3.33,16.88
Liberia,1987,8,0.83,1.67,1.67,2.5,14.67
Liberia,1988,8,0.9,1.81,1.81,2.71,15.23
Liberia,1989,7.21,0.83,1.67,1.67,2.5,13.88
Liberia,1990,7.67,0.66,1.32,1.32,1.98,12.95
Liberia,1991,4.67,0.21,0.42,0.42,0.63,6.35
Liberia,1992,1,0,0,0,0,1
Liberia,1993,1,0,0,0,0,1
Liberia,1994,1.5,0.42,0.83,0.83,1.25,4.83
Liberia,1995,2.83,0.42,0.83,0.83,1.25,6.16
Liberia,1996,2.75,0.45,0.9,0.9,1.35,6.35
Liberia,1997,3,0.59,3.35,2.85,1.77,11.56
Liberia,1998,3.79,0,6.5,5,0,15.29
Liberia,1999,5.83,0,7.42,4.54,4.58,22.37
Liberia,2000,7.88,0,9.38,6.75,8,32.01
Liberia,2001,8.5,0,10,7,9,34.5
Liberia,2002,7.67,0,8.5,6.67,8.75,31.59
Liberia,2003,5.5,0,5.83,5.75,8,25.08
Liberia,2004,5,0,7.5,5.33,8,25.83
Liberia,2005,7.04,0,8.96,7.17,6.54,29.71
Liberia,2006,8.5,0,10,8,5.5,32
Liberia,2007,8.04,0,10,8,8.25,34.29
Liberia,2008,7.38,0,10,8,5.38,30.76
Liberia,2009,7.5,0,10,6,0.67,24.17
Liberia,2010,9.38,0,10,2.5,0.04,21.92
Liberia,2011,7.83,0,9.83,8,0.5,26.16
Liberia,2012,7.5,0,9.5,8,0.5,25.5
Liberia,2013,7.5,0,9.71,8,0.29,25.5
Libya,1984,5,1.94,3.89,3.89,5.83,20.55
Libya,1985,5,2.08,4.17,4.17,6.25,21.67
Libya,1986,5,2.08,4.17,4.17,6.25,21.67
Libya,1987,5,2.08,4.17,4.17,6.25,21.67
Libya,1988,5,2.01,4.03,4.03,6.04,21.11
Libya,1989,5,1.67,3.33,3.33,5,18.33
Libya,1990,5,1.81,3.61,3.61,5.42,19.45
Libya,1991,5,2.64,5.28,5.28,7.92,26.12
Libya,1992,5,2.78,5.56,5.56,8.34,27.24
Libya,1993,5.04,2.5,5,5,7.5,25.04
Libya,1994,5,2.5,5,5,7.5,25
Libya,1995,4.17,2.5,5,5,7.5,24.17
Libya,1996,3.58,2.5,5,5,7.5,23.58
Libya,1997,3.92,2.47,5.6,3.85,8.81,24.65
Libya,1998,8.46,2.54,6.46,1.88,12.29,31.63
Libya,1999,8,1.95,4,5.5,10,29.45
Libya,2000,5,2.58,8.5,8,10.5,34.58
Libya,2001,5.42,3,9.25,9,13.33,40
Libya,2002,6.83,3,8.38,9,13.63,40.84
Libya,2003,8.29,2.08,8.46,9,14.29,42.12
Libya,2004,9.46,2,8.46,9.67,13.58,43.17
Libya,2005,9.5,2.33,8.88,10,14.88,45.59
Libya,2006,9.33,2.5,9.92,10,15,46.75
Libya,2007,9,2.5,10,10,15,46.5
Libya,2008,8.17,3,9.83,10,15,46
Libya,2009,7.67,3.42,8.75,3.58,11.83,35.25
Libya,2010,8.42,2.67,8.92,8.67,14.92,43.6
Libya,2011,8.5,2.5,7.33,10,11.25,39.58
Libya,2012,8.42,2.13,10,10,15,45.55
Libya,2013,9,2.21,10,10,15,46.21
Lithuania,1984,NA,NA,NA,NA,NA,0
Lithuania,1985,NA,NA,NA,NA,NA,0
Lithuania,1986,NA,NA,NA,NA,NA,0
Lithuania,1987,NA,NA,NA,NA,NA,0
Lithuania,1988,NA,NA,NA,NA,NA,0
Lithuania,1989,NA,NA,NA,NA,NA,0
Lithuania,1990,NA,NA,NA,NA,NA,0
Lithuania,1991,NA,NA,NA,NA,NA,0
Lithuania,1992,NA,NA,NA,NA,NA,0
Lithuania,1993,NA,NA,NA,NA,NA,0
Lithuania,1994,NA,NA,NA,NA,NA,0
Lithuania,1995,NA,NA,NA,NA,NA,0
Lithuania,1996,NA,NA,NA,NA,NA,0
Lithuania,1997,NA,NA,NA,NA,NA,0
Lithuania,1998,8.11,NA,NA,NA,NA,8.11
Lithuania,1999,9.63,1.3,7.75,7.33,15,41.01
Lithuania,2000,10,2,9,7.5,8,36.5
Lithuania,2001,10,2,8.83,6.71,9.42,36.96
Lithuania,2002,9.5,2,9,7,10,37.5
Lithuania,2003,9.5,2,9,7,10,37.5
Lithuania,2004,9.79,2,9.58,7,10,38.37
Lithuania,2005,10,2,10,7,10,39
Lithuania,2006,10,2,10,7,10,39
Lithuania,2007,9.08,2,10,7,9.08,37.16
Lithuania,2008,8.21,1.71,9.88,6.92,8.5,35.22
Lithuania,2009,7.13,2.92,7.79,5.75,8.33,31.92
Lithuania,2010,9.13,3,1.67,3.21,12.42,29.43
Lithuania,2011,10,3,4,3.5,13,33.5
Lithuania,2012,9.75,3,5.5,4.5,12,34.75
Lithuania,2013,9.5,3,7.21,5.71,11,36.42
Luxembourg,1984,NA,NA,NA,NA,NA,0
Luxembourg,1985,8.5,3.75,7.5,7.5,11.25,38.5
Luxembourg,1986,8.88,3.75,7.5,7.5,11.25,38.88
Luxembourg,1987,9.54,3.75,7.5,7.5,11.25,39.54
Luxembourg,1988,9.5,3.99,7.99,7.99,11.98,41.45
Luxembourg,1989,9.25,4.17,8.34,8.34,12.5,42.6
Luxembourg,1990,9,4.17,8.34,8.34,12.5,42.35
Luxembourg,1991,8.5,4.17,8.34,8.34,12.5,41.85
Luxembourg,1992,8.96,4.17,8.34,8.34,12.5,42.31
Luxembourg,1993,8.5,3.89,7.78,7.78,11.67,39.62
Luxembourg,1994,9,3.75,7.5,7.5,11.25,39
Luxembourg,1995,9.5,3.75,7.5,7.5,11.25,39.5
Luxembourg,1996,9.75,3.96,7.92,7.92,11.88,41.43
Luxembourg,1997,10,4.38,8.08,8.25,12.79,43.5
Luxembourg,1998,10,5,8.46,8.5,13.96,45.92
Luxembourg,1999,10,5.11,8.46,8.5,13.04,45.11
Luxembourg,2000,9.38,5,9,8.5,14.71,46.59
Luxembourg,2001,9.21,5,8.29,8.5,14.5,45.5
Luxembourg,2002,9.5,5,8.04,8.5,14.08,45.12
Luxembourg,2003,9.5,5,8,8.5,13.5,44.5
Luxembourg,2004,9.5,5,7.71,7.63,14.38,44.22
Luxembourg,2005,9.5,5,7.5,7,15,44
Luxembourg,2006,9.5,5,7.5,7,15,44
Luxembourg,2007,9.5,5,8.42,6.54,14.08,43.54
Luxembourg,2008,9.08,5,8.5,7.54,14,44.12
Luxembourg,2009,8.88,5,6.63,9,13.88,43.39
Luxembourg,2010,9.5,5,5,6,13.5,39
Luxembourg,2011,9.21,5,6.17,6.54,13.79,40.71
Luxembourg,2012,9,5,8,7.5,14,43.5
Luxembourg,2013,9.5,5,6.75,7.25,14,42.5
Madagascar,1984,NA,NA,NA,NA,NA,0
Madagascar,1985,5.88,1.67,3.33,3.33,5,19.21
Madagascar,1986,6.5,1.91,3.82,3.82,5.73,21.78
Madagascar,1987,6.04,2.08,4.17,4.17,6.25,22.71
Madagascar,1988,5.33,2.33,4.65,4.65,6.98,23.94
Madagascar,1989,4,2.81,5.63,5.63,8.44,26.51
Madagascar,1990,4.25,2.92,5.83,5.83,8.75,27.58
Madagascar,1991,7,2.92,5.83,5.83,8.75,30.33
Madagascar,1992,7,2.08,4.17,4.17,6.25,23.67
Madagascar,1993,5.92,2.08,4.17,4.17,6.25,22.59
Madagascar,1994,6.13,2.08,4.17,4.17,6.25,22.8
Madagascar,1995,5.08,2.08,4.17,4.17,6.25,21.75
Madagascar,1996,4,1.88,3.75,3.75,5.63,19.01
Madagascar,1997,7.33,1.32,5.14,4.14,7.13,25.06
Madagascar,1998,8.29,0,9,7,10.5,34.79
Madagascar,1999,8.21,0,9,7,10.5,34.71
Madagascar,2000,6.96,0,9,6.17,10,32.13
Madagascar,2001,8.25,0,9.75,4.63,9.38,32.01
Madagascar,2002,8.08,0,7.71,5.04,9.5,30.33
Madagascar,2003,7.5,0,6.5,4.5,9.5,28
Madagascar,2004,7.5,0,9.13,5.33,9.71,31.67
Madagascar,2005,7.5,0,10,6.5,10,34
Madagascar,2006,6,0,9.5,5.5,9,30
Madagascar,2007,7.5,0,9.5,5.5,8.5,31
Madagascar,2008,7.83,0,9.83,5.5,6.17,29.33
Madagascar,2009,8,0,10,5.13,5,28.13
Madagascar,2010,7.75,0,7,6.25,6.5,27.5
Madagascar,2011,7.5,0,5.33,4.5,9,26.33
Madagascar,2012,7.5,0,6.67,4.5,10.83,29.5
Madagascar,2013,8.17,0,8,7.17,10.17,33.51
Malawi,1984,6,2.5,5,5,7.5,26
Malawi,1985,5.58,2.36,4.72,4.72,7.08,24.46
Malawi,1986,6,2.26,4.51,4.51,6.77,24.05
Malawi,1987,6,2.08,4.17,4.17,6.25,22.67
Malawi,1988,4.71,1.98,3.96,3.96,5.94,20.55
Malawi,1989,3.5,2.67,5.35,5.35,8.02,24.89
Malawi,1990,5.46,2.92,5.83,5.83,8.75,28.79
Malawi,1991,6.5,2.92,5.83,5.83,8.75,29.83
Malawi,1992,6.5,2.5,5,5,7.5,26.5
Malawi,1993,5.75,2.08,4.17,4.17,6.25,22.42
Malawi,1994,4.17,2.08,4.17,4.17,6.25,20.84
Malawi,1995,4.21,2.08,4.17,4.17,6.25,20.88
Malawi,1996,4.33,2.08,4.17,4.17,6.25,21
Malawi,1997,6.75,1.56,6.29,4.46,7.86,26.92
Malawi,1998,7.92,0,9.5,4.5,9.5,31.42
Malawi,1999,4.13,0,9.33,4.96,9.04,27.46
Malawi,2000,3.63,0,9,5,9,26.63
Malawi,2001,5,0,8.5,8,9.5,31
Malawi,2002,4.33,0,7.17,6.67,9.5,27.67
Malawi,2003,4,0,6.5,6,9.5,26
Malawi,2004,4,0,6.5,6,9.5,26
Malawi,2005,4,0,6.5,6,9.5,26
Malawi,2006,9,0,10,7.5,6,32.5
Malawi,2007,7.63,0,9.54,6.13,8.75,32.05
Malawi,2008,7.58,0,9.75,6.21,9.79,33.33
Malawi,2009,7.54,0,10,6.38,10.83,34.75
Malawi,2010,7.67,0,10,6,9.33,33
Malawi,2011,7.5,0,10,6.5,9.5,33.5
Malawi,2012,7.08,0,9.58,5.46,9.71,31.83
Malawi,2013,4.83,0,9,5.67,10.33,29.83
Malaysia,1984,8.5,3.13,6.25,6.25,9.38,33.51
Malaysia,1985,8.5,3.09,6.18,6.18,9.27,33.22
Malaysia,1986,8.5,2.5,5,5,7.5,28.5
Malaysia,1987,8.5,2.12,4.17,4.17,6.25,25.21
Malaysia,1988,9.54,2.08,4.17,4.17,6.25,26.21
Malaysia,1989,8.48,2.08,4.17,4.17,6.25,25.15
Malaysia,1990,8.92,3.06,6.11,6.11,9.17,33.37
Malaysia,1991,8.5,3.92,7.85,7.85,11.77,39.89
Malaysia,1992,8.04,3.44,6.88,6.88,10.31,35.55
Malaysia,1993,8.5,3.02,6.04,6.04,9.06,32.66
Malaysia,1994,8.5,2.92,5.83,5.83,8.75,31.83
Malaysia,1995,8.46,2.92,5.83,5.83,8.75,31.79
Malaysia,1996,8.75,2.99,5.97,5.97,8.96,32.64
Malaysia,1997,9,3.02,7.54,6.88,9.56,36
Malaysia,1998,8.5,2,5.58,8,9.29,33.37
Malaysia,1999,8.63,1.75,4.92,7.33,13.54,36.17
Malaysia,2000,9.67,2.5,9.79,5.5,15,42.46
Malaysia,2001,9.5,2.5,9.04,6,14.21,41.25
Malaysia,2002,9.54,2.5,7.79,6,13.46,39.29
Malaysia,2003,9.58,2.5,8.75,5.21,13.71,39.75
Malaysia,2004,10,2.5,9.79,5,14.83,42.12
Malaysia,2005,9.54,2,9.54,5.58,14.13,40.79
Malaysia,2006,8.79,2.08,9.5,5.96,14.83,41.16
Malaysia,2007,9.08,2.5,9.58,6,15,42.16
Malaysia,2008,9.17,2,9.83,6,15,42
Malaysia,2009,9.13,2.21,6.04,4.96,15,37.34
Malaysia,2010,10,2.5,7.58,4.54,15,39.62
Malaysia,2011,9.17,2.5,9.21,4.71,14.71,40.3
Malaysia,2012,9.42,2.5,8.58,4.92,14.92,40.34
Malaysia,2013,9.75,2.5,8.96,5.46,13.88,40.55
Mali,1984,NA,1.25,2.5,2.5,3.75,10
Mali,1985,NA,1.25,2.5,2.5,3.75,10
Mali,1986,NA,1.25,2.5,2.5,3.75,10
Mali,1987,NA,1.25,2.5,2.5,3.75,10
Mali,1988,NA,1.46,2.92,2.92,4.38,11.68
Mali,1989,NA,1.67,3.33,3.33,5,13.33
Mali,1990,NA,2.33,4.65,4.65,6.98,18.61
Mali,1991,NA,2.5,5,5,7.5,20
Mali,1992,NA,2.5,5,5,7.5,20
Mali,1993,NA,2.5,5,5,7.5,20
Mali,1994,NA,2.12,4.24,4.24,6.36,16.96
Mali,1995,NA,2.08,4.17,4.17,6.25,16.67
Mali,1996,7.75,2.08,4.17,4.17,6.25,24.42
Mali,1997,8.13,1.49,6.15,4.15,7.31,27.23
Mali,1998,9.83,0,9.33,3.96,8.96,32.08
Mali,1999,9.33,0,9.5,6.29,10.38,35.5
Mali,2000,10,0,9.42,5.92,10.25,35.59
Mali,2001,9.08,0,6.92,2.58,8.58,27.16
Mali,2002,8.5,0,5.5,2,8,24
Mali,2003,8.5,0,5.5,2,8,24
Mali,2004,8.5,0,7.5,2,8,26
Mali,2005,9.5,0,10,5.5,9.5,34.5
Mali,2006,9,0,10,5.5,10,34.5
Mali,2007,9.5,0,9.5,7.5,10,36.5
Mali,2008,9.5,0,9.33,7,9.83,35.66
Mali,2009,9.33,0,8.83,5.67,9.5,33.33
Mali,2010,9.38,0,8.58,5.75,8.63,32.34
Mali,2011,9.75,0,9.13,6.75,8.38,34.01
Mali,2012,9,0,9.5,6,9.5,34
Mali,2013,8.08,0,9.04,6.46,9.5,33.08
Malta,1984,NA,NA,NA,NA,NA,0
Malta,1985,NA,NA,NA,NA,NA,0
Malta,1986,9.89,2.92,5.83,5.83,8.75,33.22
Malta,1987,8.96,2.92,5.83,5.83,8.75,32.29
Malta,1988,9.5,2.92,5.83,5.83,8.75,32.83
Malta,1989,8.83,2.92,5.83,5.83,8.75,32.16
Malta,1990,9.5,2.92,5.83,5.83,8.75,32.83
Malta,1991,9.42,2.92,5.83,5.83,8.75,32.75
Malta,1992,8.04,2.92,5.83,5.83,8.75,31.37
Malta,1993,8,2.92,5.83,5.83,8.75,31.33
Malta,1994,8.5,2.92,5.83,5.83,8.75,31.83
Malta,1995,8.33,2.92,5.83,5.83,8.75,31.66
Malta,1996,8.75,2.92,5.83,5.83,8.75,32.08
Malta,1997,9.46,3.22,7.01,5.76,9.31,34.76
Malta,1998,8.71,3.46,8.5,4.13,10,34.8
Malta,1999,9.71,2.79,8.08,6,10,36.58
Malta,2000,9.21,3.5,8.5,4,10,35.21
Malta,2001,9,1.25,8.5,4.5,10,33.25
Malta,2002,9,2,8.5,4.5,10,34
Malta,2003,9.04,3.5,8.46,4.46,10,35.46
Malta,2004,9.21,3.5,8.29,4.58,10,35.58
Malta,2005,9,3.5,8.5,5.46,10,36.46
Malta,2006,9,3.5,8.5,5.5,10,36.5
Malta,2007,9.46,3.5,7.13,5.96,8.63,34.68
Malta,2008,9.21,3.5,7.29,7.17,8.79,35.96
Malta,2009,9.17,3.25,6,7.17,9.33,34.92
Malta,2010,9.5,3,3,5.5,10,31
Malta,2011,9.5,3,4,5.63,10,32.13
Malta,2012,9.5,3.5,7.5,6,10,36.5
Malta,2013,9.5,3.5,6.92,6.29,10.29,36.5
Mexico,1984,2.67,2.54,5.07,5.07,7.61,22.96
Mexico,1985,2.88,2.71,5.42,5.42,8.13,24.56
Mexico,1986,2,1.84,3.68,3.68,5.52,16.72
Mexico,1987,0.88,1.98,3.96,3.96,5.94,16.72
Mexico,1988,0.08,2.57,5.14,5.14,7.71,20.64
Mexico,1989,4,2.95,5.9,5.9,8.86,27.61
Mexico,1990,4.92,3.33,6.67,6.67,10,31.59
Mexico,1991,5.67,3.33,6.67,6.67,10,32.34
Mexico,1992,6.33,3.09,6.18,6.18,9.27,31.05
Mexico,1993,6.83,2.92,5.83,5.83,8.75,30.16
Mexico,1994,7.54,2.92,5.83,5.83,8.75,30.87
Mexico,1995,4.46,1.91,3.82,3.82,5.73,19.74
Mexico,1996,3.83,2.4,4.79,4.79,7.19,23
Mexico,1997,4.5,2.76,7.35,6.6,9.86,31.07
Mexico,1998,5.92,2.17,9.42,7.33,10.71,35.55
Mexico,1999,5.38,1.94,8.13,7.33,10.38,33.16
Mexico,2000,6.71,2.5,9.25,7.5,10.5,36.46
Mexico,2001,7.92,2.58,7.67,7.42,10.92,36.51
Mexico,2002,8.5,3,6.88,7.17,10.5,36.05
Mexico,2003,8.5,3,7.46,7.17,10.83,36.96
Mexico,2004,8.67,2.79,8.25,7.38,10.96,38.05
Mexico,2005,8.54,2.5,8.5,7.17,11,37.71
Mexico,2006,8.96,2.5,8.21,6.42,11,37.09
Mexico,2007,8.92,2.5,8.63,8,11,39.05
Mexico,2008,8.5,2.5,7.46,8.67,11.08,38.21
Mexico,2009,8.38,2.5,1.92,6.33,10.67,29.8
Mexico,2010,8.5,2.5,7.29,6.33,10.5,35.12
Mexico,2011,8.75,2.5,9,6.54,10.75,37.54
Mexico,2012,8.83,2.5,8.58,6.33,11,37.24
Mexico,2013,9,2.5,8.5,6.96,11,37.96
Moldova,1984,NA,NA,NA,NA,NA,0
Moldova,1985,NA,NA,NA,NA,NA,0
Moldova,1986,NA,NA,NA,NA,NA,0
Moldova,1987,NA,NA,NA,NA,NA,0
Moldova,1988,NA,NA,NA,NA,NA,0
Moldova,1989,NA,NA,NA,NA,NA,0
Moldova,1990,NA,NA,NA,NA,NA,0
Moldova,1991,NA,NA,NA,NA,NA,0
Moldova,1992,NA,NA,NA,NA,NA,0
Moldova,1993,NA,NA,NA,NA,NA,0
Moldova,1994,NA,NA,NA,NA,NA,0
Moldova,1995,NA,NA,NA,NA,NA,0
Moldova,1996,NA,NA,NA,NA,NA,0
Moldova,1997,NA,NA,NA,NA,NA,0
Moldova,1998,7.72,NA,NA,NA,NA,7.72
Moldova,1999,6.21,0,0,6.54,2.46,15.21
Moldova,2000,3.25,0,1,6.5,4.54,15.29
Moldova,2001,6.5,0,9.5,6,9.5,31.5
Moldova,2002,6.38,0,9.75,6.13,9.5,31.76
Moldova,2003,4.5,0,9,6.5,9.5,29.5
Moldova,2004,5.58,0,9.25,7,9.5,31.33
Moldova,2005,6.5,0,9.5,7.5,9.5,33
Moldova,2006,6.5,0,9.5,7.5,9.5,33
Moldova,2007,6.96,0,8.58,7.04,7.67,30.25
Moldova,2008,7,0,8.5,7,7.5,30
Moldova,2009,7.25,0,7.79,6.54,7.5,29.08
Moldova,2010,9.33,0,3.33,2.75,8.13,23.54
Moldova,2011,8,0,8,4.5,9,29.5
Moldova,2012,8.25,0.25,8.25,5.75,8.75,31.25
Moldova,2013,8.5,0.5,8.54,6.75,8.33,32.62
Mongolia,1984,NA,NA,NA,NA,NA,0
Mongolia,1985,NA,NA,NA,NA,NA,0
Mongolia,1986,NA,2.08,4.17,4.17,6.25,16.67
Mongolia,1987,NA,1.94,3.89,3.89,5.83,15.55
Mongolia,1988,NA,2.01,4.03,4.03,6.04,16.11
Mongolia,1989,NA,2.08,4.17,4.17,6.25,16.67
Mongolia,1990,NA,2.08,4.17,4.17,6.25,16.67
Mongolia,1991,NA,2.71,5.42,5.42,8.13,21.68
Mongolia,1992,NA,2.01,4.03,4.03,6.04,16.11
Mongolia,1993,NA,1.67,3.33,3.33,5,13.33
Mongolia,1994,NA,1.67,3.33,3.33,5,13.33
Mongolia,1995,NA,1.67,3.33,3.33,5,13.33
Mongolia,1996,3.33,2.19,4.38,4.38,6.56,20.84
Mongolia,1997,4.29,1.63,6.1,4.1,7.73,23.85
Mongolia,1998,6.29,0,8.5,3.42,8.5,26.71
Mongolia,1999,6.58,0.08,8.5,4.96,9,29.12
Mongolia,2000,7.75,0,8.5,6.08,5.21,27.54
